genre,☺,✋,✌,✨,❤,🎵,🎶,👀,👊,👌,👍,👏,💀,💁,💓,💔,💕,💖,💙,💛,💜,💪,💯,🔫,😁,😂,😄,😅,😈,😉,😊,😋,😌,😍,😎,😏,😐,😑,😒,😓,😔,😕,😖,😘,😜,😞,😠,😡,😢,😣,😤,😩,😪,😫,😬,😭,😳,😴,😷,🙅,🙈,🙊,🙌,🙏,sum
Action,1.4607778510217535,0.15930564711052517,2.201933640958031,0.7791694133157547,1.9861568885959129,0.4029883542078664,0.6932542298395957,0.6352450010986597,3.144144144144144,1.3838716765546033,4.588442100637223,2.999340804218853,0.19973632168754119,0.14304548450889915,2.184135354867062,1.9147440123049877,0.22324763788178423,0.4095803120193364,1.8321248077345638,2.2898264117776312,1.3001538123489345,1.5343880465831685,0.927927927927928,1.085255987695012,1.3107009448472862,0.2061085475719622,3.247198417930125,0.980663590419688,2.8431114040870136,3.1865524060646013,2.117117117117117,0.15139529773676116,0.34563832124807736,0.35223027905954735,2.185673478356405,0.32476378817842233,3.2467589540760273,2.4943968358602504,1.3709074928587124,2.082838936497473,1.2768622280817403,3.5460338387167654,2.1386508459679194,0.10613052076466711,2.901560096682048,2.6886398593715666,3.6708415732805975,3.715886618325643,3.065040650406504,2.3625576796308505,2.804218852999341,0.12546693034497913,0.7980663590419688,0.3085036255767963,3.774994506701824,0.17468688200395519,1.032520325203252,0.12151175565809712,0.16699626455724015,0.2056690837178642,0.35332893869479237,0.11162381894089211,1.058228960667985,2.5671281037134697,455100
Adventure,1.6567395561357703,0.16971279373368145,2.148335509138381,1.0066498041775456,2.3784268929503916,0.43366514360313313,0.7559562663185379,0.5803280026109661,2.7982212793733683,1.426036227154047,4.580409595300261,3.02566090078329,0.1560460182767624,0.1568619451697128,2.5387565274151433,2.044916775456919,0.31555972584856395,0.6060296997389034,2.155474869451697,2.694190600522193,1.651232049608355,1.3995186031331592,0.7845137075718015,0.757384138381201,1.3368962140992167,0.21295691906005224,3.288389360313316,0.9275048955613577,2.5469157963446474,3.132547323759791,2.327023498694517,0.1754242819843342,0.4024559399477807,0.46385443864229764,2.0257424934725847,0.3337140992167102,3.018521540469974,2.254202023498695,1.278965404699739,2.0965241514360313,1.3393439947780679,3.3997633812010446,2.062255221932115,0.14054340731070497,2.7158126631853787,2.679095953002611,3.457694190600522,3.4999184073107052,3.0907310704960835,2.3439539817232373,2.539980417754569,0.11137402088772846,0.8338772845953003,0.2763952349869452,3.4829879242819843,0.18113577023498695,0.918733681462141,0.1278965404699739,0.16950881201044388,0.19255874673629242,0.3702268276762402,0.15094647519582244,1.1308746736292428,2.742126305483029,490240
Arcade,1.4009962640099627,0.21793275217932753,2.0298879202988793,0.6537982565379826,1.5784557907845578,0.5448318804483188,0.933997509339975,0.7752179327521793,3.1755915317559156,1.4072229140722292,4.480074719800747,2.7179327521793275,0.16189290161892902,0.17434620174346202,1.8368617683686177,1.7372353673723535,0.20236612702366125,0.2957658779576588,1.516189290161893,1.8929016189290164,0.9744707347447072,1.481942714819427,0.9122042341220424,1.2702366127023663,1.3854296388542964,0.28019925280199254,3.2503113325031134,1.0709838107098382,2.6618929016189288,3.300124533001245,1.9769613947696139,0.16189290161892902,0.3175591531755916,0.33623910336239105,2.3069738480697386,0.29265255292652553,3.399750933997509,2.7708592777085927,1.6376089663760898,2.272727272727273,1.320049813200498,3.592777085927771,2.319427148194271,0.08405977584059776,3.1537982565379825,2.8019925280199254,3.704856787048568,3.7266500622665,2.973225404732254,2.484433374844334,2.9919053549190533,0.1556662515566625,0.8810709838107099,0.3455790784557908,4.0224159402241595,0.199252801992528,1.2764632627646326,0.14009962640099627,0.17745952677459528,0.29265255292652553,0.4016189290161893,0.099626400996264,0.9931506849315069,2.067247820672478,32120
Building,1.9736842105263157,0.208078335373317,2.1634026927784578,0.9822521419828641,2.1511627906976747,0.41921664626682986,0.7435740514075887,0.5905752753977968,2.891676866585067,1.8574051407588739,4.476744186046512,3.1364749082007344,0.1101591187270502,0.18665850673194614,1.8451652386780906,1.303549571603427,0.28457772337821297,0.4406364749082008,2.291921664626683,2.313341493268054,1.5850673194614442,1.8971848225214198,0.8567931456548347,0.7496940024479805,2.114443084455324,0.3518971848225214,3.7392900856793143,1.3984088127294982,2.1878824969400243,3.277233782129743,2.7386780905752754,0.25703794369645044,0.5936352509179926,0.49265605875153,2.6376988984088126,0.48653610771113825,2.8335373317013466,2.1817625458996326,1.3157894736842104,1.7962056303549572,1.1107711138310894,3.026315789473684,1.7472460220318238,0.13157894736842105,3.069155446756426,2.3102815177478577,3.1334149326805387,3.1731946144430845,2.5030599755201957,2.0165238678090573,2.2613219094247246,0.25703794369645044,0.774173806609547,0.5201958384332925,3.7882496940024475,0.302937576499388,1.1199510403916768,0.14993880048959607,0.1988984088127295,0.25091799265605874,0.48653610771113825,0.1988984088127295,1.4167686658506733,2.1909424724602204,32680
Chess,2.019230769230769,0.09615384615384616,2.1153846153846154,0.4807692307692308,1.3461538461538463,0.2884615384615385,0.7692307692307693,1.25,2.5,1.153846153846154,4.615384615384616,2.980769230769231,0.19230769230769232,0.19230769230769232,1.6346153846153848,1.5384615384615385,0.0,0.09615384615384616,1.7307692307692308,1.7307692307692308,0.7692307692307693,1.153846153846154,0.38461538461538464,0.7692307692307693,1.6346153846153848,0.6730769230769231,4.230769230769231,1.7307692307692308,2.307692307692308,3.942307692307692,2.5961538461538463,0.19230769230769232,0.38461538461538464,0.19230769230769232,3.173076923076923,0.4807692307692308,3.75,2.980769230769231,1.7307692307692308,1.6346153846153848,0.9615384615384616,3.942307692307692,1.826923076923077,0.09615384615384616,3.653846153846154,2.5,3.75,3.8461538461538463,2.7884615384615388,2.403846153846154,2.1153846153846154,0.19230769230769232,0.6730769230769231,0.38461538461538464,4.519230769230769,0.19230769230769232,1.5384615384615385,0.0,0.2884615384615385,0.38461538461538464,0.2884615384615385,0.0,0.576923076923077,1.6346153846153848,1040
Combat,1.4726901480347114,0.15569167942827972,2.42215416028586,0.801429300663604,2.0367534456355285,0.3547728432873915,0.658499234303216,0.6610515569167943,3.5426237876467583,1.618172537008678,4.650331801939765,3.4099030117406843,0.1812149055640633,0.11485451761102604,1.985706993363961,1.6385911179173047,0.2169474221541603,0.35732516590096985,2.0163348647269013,2.23583460949464,1.375701888718734,1.8861664114344052,1.2251148545176112,1.0158244002041859,1.3782542113323124,0.1531393568147014,3.545176110260337,0.8550280755487494,2.771822358346095,3.4456355283307807,2.335375191424196,0.13527309851965288,0.3088310362429811,0.3649821337417049,2.57784583971414,0.265441551812149,3.044920877998979,2.276671771311894,1.0872894333843797,1.681980602348137,0.9520163348647269,3.3843797856049003,1.7942827973455846,0.13016845329249618,3.1214905564063296,2.3762123532414496,3.6089841755997956,3.647269014803471,2.8815722307299643,1.9703930576824913,2.720775906074528,0.16079632465543645,0.6151097498723839,0.35987748851454826,3.838693210821848,0.2169474221541603,0.9877488514548239,0.08677896886166411,0.13782542113323124,0.1965288412455334,0.3777437468095967,0.1225114854517611,1.3348647269014804,2.715671260847371,39180
Comedy,2.289719626168224,0.23364485981308408,2.5233644859813085,0.794392523364486,2.4766355140186915,0.46728971962616817,0.7476635514018692,0.7009345794392523,3.2242990654205608,1.4018691588785046,4.719626168224298,3.2242990654205608,0.09345794392523366,0.23364485981308408,2.9439252336448596,1.4485981308411215,0.2803738317757009,0.7009345794392523,2.0560747663551404,2.897196261682243,1.7757009345794394,1.588785046728972,0.6542056074766356,0.6542056074766356,1.7757009345794394,0.4205607476635514,3.9719626168224296,1.2149532710280373,2.710280373831776,4.065420560747664,2.897196261682243,0.23364485981308408,0.5607476635514018,0.4205607476635514,2.289719626168224,0.46728971962616817,2.897196261682243,1.8224299065420562,0.8411214953271028,1.4953271028037385,0.7476635514018692,3.177570093457944,1.2149532710280373,0.14018691588785046,3.6448598130841123,1.9158878504672898,3.364485981308411,3.411214953271028,2.7570093457943927,1.542056074766355,2.0093457943925235,0.0,0.3271028037383178,0.09345794392523366,3.5046728971962615,0.04672897196261683,0.7476635514018692,0.14018691588785046,0.1869158878504673,0.1869158878504673,0.46728971962616817,0.3738317757009346,1.074766355140187,2.710280373831776,2140
Detective-mystery,1.5892420537897312,0.13651181744091279,2.015077424612877,0.8659331703341483,2.2249388753056234,0.3422982885085574,0.6886715566422168,0.6703341483292584,2.569274653626732,1.3264058679706603,4.643439282803586,2.9788101059494703,0.1100244498777506,0.12428687856560718,2.430725346373268,2.104726976365118,0.19559902200488996,0.4849225753871231,1.974327628361858,2.5814995925020376,1.4099429502852485,1.0493072534637327,0.5582722086389569,0.647921760391198,1.4099429502852485,0.22819885900570497,3.4127954360228197,0.9127954360228199,2.4286878565607175,3.317033414832926,2.2901385493072532,0.14466177669111654,0.26691116544417276,0.36471067644661775,1.949877750611247,0.27913610431947844,3.353708231458843,2.559087204563977,1.4649551752241239,2.2860635696821516,1.5077424612876935,3.647106764466178,2.2147514262428687,0.10594947025264873,2.9706601466992666,2.921760391198044,3.63080684596577,3.6756316218418905,3.2518337408312963,2.5203748981255094,2.6140994295028523,0.08964955175224124,0.841483292583537,0.2404237978810106,3.8060309698451507,0.12836185819070906,1.0472697636511816,0.14058679706601468,0.13243683781581092,0.16096169519152403,0.3769356153219234,0.13243683781581092,0.9657701711491443,2.4857375713121432,49080
Economic,1.3255494505494505,0.19917582417582416,2.0123626373626373,0.782967032967033,1.668956043956044,0.2129120879120879,0.41895604395604397,0.8035714285714285,2.960164835164835,1.201923076923077,4.59478021978022,2.8021978021978025,0.11675824175824176,0.14423076923076925,1.9368131868131868,1.6140109890109893,0.22664835164835168,0.32280219780219777,1.668956043956044,2.067307692307692,1.0714285714285714,1.3942307692307694,0.8447802197802198,0.9890109890109889,1.456043956043956,0.21978021978021978,3.3516483516483517,1.14010989010989,2.8777472527472527,3.440934065934066,2.2252747252747254,0.18543956043956042,0.35714285714285715,0.33653846153846156,2.074175824175824,0.2815934065934066,3.5576923076923075,2.7953296703296706,1.7170329670329672,2.142857142857143,1.2431318681318682,3.75,2.3145604395604398,0.11675824175824176,3.159340659340659,2.8502747252747254,3.7706043956043955,3.811813186813187,3.056318681318681,2.4862637362637363,2.9395604395604393,0.11675824175824176,0.679945054945055,0.30219780219780223,4.1826923076923075,0.10989010989010989,1.1881868131868132,0.23351648351648352,0.13736263736263737,0.26785714285714285,0.43956043956043955,0.13049450549450547,0.9134615384615385,2.2596153846153846,14560
Educational,1.3978494623655915,0.2688172043010753,1.881720430107527,0.6989247311827957,2.258064516129032,0.21505376344086022,0.3225806451612903,0.6451612903225806,1.6666666666666667,0.8602150537634409,4.46236559139785,2.204301075268817,0.053763440860215055,0.2688172043010753,2.5806451612903225,2.0967741935483875,0.2688172043010753,0.6989247311827957,2.204301075268817,2.5806451612903225,1.6666666666666667,0.6451612903225806,0.3763440860215054,0.8064516129032258,1.129032258064516,0.21505376344086022,2.903225806451613,1.021505376344086,2.741935483870968,2.795698924731183,2.258064516129032,0.2688172043010753,0.3763440860215054,0.2688172043010753,1.2903225806451613,0.43010752688172044,3.655913978494624,2.741935483870968,1.7741935483870968,2.4193548387096775,1.4516129032258065,3.924731182795699,2.741935483870968,0.16129032258064516,2.849462365591398,3.118279569892473,3.763440860215054,3.924731182795699,3.3333333333333335,2.741935483870968,2.6881720430107525,0.10752688172043011,0.913978494623656,0.3763440860215054,3.870967741935484,0.10752688172043011,1.5591397849462365,0.21505376344086022,0.21505376344086022,0.43010752688172044,0.5376344086021506,0.16129032258064516,0.4838709677419355,2.903225806451613,1860
Espionage,1.4754098360655739,0.16393442622950818,2.1311475409836063,0.6557377049180327,1.0655737704918031,0.32786885245901637,0.32786885245901637,1.3934426229508197,3.278688524590164,1.1475409836065573,4.590163934426229,2.9508196721311477,0.16393442622950818,0.16393442622950818,2.1311475409836063,1.3934426229508197,0.16393442622950818,0.4098360655737705,1.1475409836065573,1.9672131147540985,0.6557377049180327,0.9016393442622952,0.7377049180327869,0.9836065573770493,1.3114754098360655,0.24590163934426232,3.1967213114754096,1.3114754098360655,3.1967213114754096,3.360655737704918,2.1311475409836063,0.16393442622950818,0.24590163934426232,0.4098360655737705,2.2950819672131146,0.24590163934426232,3.8524590163934427,3.0327868852459017,1.4754098360655739,1.8852459016393444,1.2295081967213115,3.934426229508197,2.459016393442623,0.0,3.524590163934426,2.540983606557377,3.934426229508197,3.7704918032786887,3.114754098360656,2.459016393442623,3.4426229508196724,0.08196721311475409,0.6557377049180327,0.4098360655737705,4.344262295081967,0.24590163934426232,1.4754098360655739,0.0,0.08196721311475409,0.32786885245901637,0.32786885245901637,0.24590163934426232,0.4098360655737705,2.2950819672131146,1220
Exploration,0.0,0.0,1.4285714285714286,0.0,0.7142857142857143,0.0,0.0,0.0,4.285714285714286,0.0,5.0,2.857142857142857,0.0,0.0,2.857142857142857,2.142857142857143,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,1.4285714285714286,0.7142857142857143,0.7142857142857143,0.0,0.0,2.857142857142857,0.0,2.857142857142857,2.857142857142857,1.4285714285714286,0.0,0.0,0.0,1.4285714285714286,0.0,5.0,4.285714285714286,2.142857142857143,3.571428571428571,0.7142857142857143,5.0,4.285714285714286,0.0,2.857142857142857,3.571428571428571,5.0,5.0,3.571428571428571,4.285714285714286,5.0,0.0,0.7142857142857143,0.0,4.285714285714286,0.0,1.4285714285714286,0.0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,2.857142857142857,140
FPP,1.3732824427480916,0.15419847328244274,2.2809160305343514,0.7610687022900764,1.9946564885496183,0.383969465648855,0.6610687022900763,0.7809160305343512,3.1106870229007635,1.4358778625954198,4.622900763358779,3.1305343511450383,0.29465648854961835,0.14274809160305343,2.135114503816794,1.9412213740458015,0.2351145038167939,0.4267175572519084,1.9061068702290078,2.281679389312977,1.3083969465648855,1.4954198473282443,1.1427480916030535,1.4480916030534352,1.2702290076335878,0.1946564885496183,3.219083969465649,0.9290076335877864,3.0763358778625953,3.1389312977099237,2.0259541984732827,0.1297709923664122,0.3374045801526717,0.34961832061068704,2.2122137404580156,0.29770992366412213,3.216793893129771,2.467175572519084,1.214503816793893,1.9763358778625955,1.1519083969465649,3.496946564885496,2.116030534351145,0.1068702290076336,2.8877862595419845,2.60381679389313,3.6122137404580155,3.676335877862595,3.0282442748091603,2.2687022900763356,2.7083969465648856,0.10534351145038168,0.6908396946564885,0.2633587786259542,3.7473282442748093,0.15114503816793895,1.16793893129771,0.1,0.17022900763358778,0.2,0.3549618320610687,0.11755725190839696,1.1427480916030535,2.6274809160305344,131000
Fantasy,1.6857883049592892,0.1757957068837898,2.2117875647668392,1.0469096965210956,2.356819022945966,0.4494356032568468,0.7369541080680977,0.5609270910436713,3.1189859363434493,1.5058290155440415,4.51910621761658,3.14049777942265,0.13647298297557364,0.1744078460399704,2.4687731310140637,1.9187176165803108,0.3515914137675796,0.5953923019985197,2.165062916358253,2.640405255366395,1.6286547002220577,1.763277202072539,0.8838360473723168,0.7640173945225759,1.400582901554404,0.22298297557364916,3.277433382679497,0.9661824574389342,2.594837157660992,3.0475111028867503,2.3154145077720205,0.2132679496669134,0.474879718726869,0.5401091783863805,2.14979644707624,0.3680144337527757,2.884900074019245,2.194439304219097,1.23519615099926,1.977239082161362,1.2298760177646189,3.230246113989637,1.926119541080681,0.16769985196151,2.7084104367135455,2.524518874907476,3.41460029607698,3.429635455218357,2.9300055514433754,2.215025906735751,2.524518874907476,0.13092153960029607,0.8308660251665432,0.3266099185788305,3.4169133974833454,0.21234270910436714,0.8440507031828276,0.13115284974093264,0.1769522575869726,0.19684492968171727,0.38096780162842336,0.1582161361954108,1.2562453737971873,2.7750277572168764,432320
Fighting,0.9791425260718424,0.24913093858632676,1.8424101969872537,0.4982618771726535,1.3499420625724217,0.4634994206257242,0.764774044032445,0.6315179606025493,3.1112398609501737,1.1297798377752026,4.21784472769409,2.421784472769409,0.1853997682502897,0.1564310544611819,1.6801853997682505,1.9524913093858633,0.17381228273464658,0.24333719582850522,1.2630359212050986,1.657010428736964,0.8342989571263035,1.413673232908459,0.7415990730011588,1.5469293163383546,1.1297798377752026,0.3186558516801854,2.862108922363847,1.0660486674391658,2.5086906141367322,2.966396292004635,1.5758980301274623,0.14484356894553882,0.3012746234067208,0.3186558516801854,1.8424101969872537,0.20857473928157588,3.6674391657010426,3.20973348783314,2.0393974507531865,2.653534183082271,1.633835457705678,3.835457705677868,2.775202780996524,0.06952491309385864,2.792584009269988,3.163383545770568,4.044032444959444,4.06720741599073,3.3719582850521435,2.8794901506373116,3.400926998841251,0.24333719582850522,1.0950173812282735,0.5677867902665122,4.0208574739281575,0.3128621089223638,1.2746234067207416,0.1100811123986095,0.3128621089223638,0.4055619930475087,0.41135573580533025,0.08111239860950173,0.7995365005793743,2.0104287369640788,17260
Hidden Object,1.891891891891892,0.40540540540540543,1.2162162162162162,0.6756756756756757,1.3513513513513513,0.2702702702702703,0.40540540540540543,1.2162162162162162,1.891891891891892,0.8108108108108109,4.1891891891891895,2.1621621621621623,0.13513513513513514,0.2702702702702703,2.027027027027027,2.2972972972972974,0.0,0.40540540540540543,1.4864864864864866,2.027027027027027,1.0810810810810811,0.40540540540540543,0.0,1.3513513513513513,1.6216216216216217,0.0,2.5675675675675675,0.8108108108108109,2.7027027027027026,3.2432432432432434,2.2972972972972974,0.13513513513513514,0.40540540540540543,0.0,1.4864864864864866,0.0,4.054054054054054,3.2432432432432434,2.2972972972972974,2.837837837837838,1.4864864864864866,4.324324324324325,3.1081081081081083,0.13513513513513514,3.2432432432432434,3.3783783783783785,3.9189189189189193,3.9189189189189193,3.1081081081081083,3.5135135135135136,3.3783783783783785,0.2702702702702703,1.2162162162162162,0.6756756756756757,4.45945945945946,0.40540540540540543,1.0810810810810811,0.13513513513513514,0.0,0.40540540540540543,0.40540540540540543,0.0,0.13513513513513514,1.6216216216216217,740
Historical,1.4107883817427387,0.1882039122703023,2.1147006520450504,0.6179608772969769,1.7249555423829284,0.29045643153526973,0.508298755186722,0.7009484291641969,3.1401896858328393,1.3515115589804387,4.5020746887966805,2.9919976289270895,0.16301126259632484,0.14078245406046236,1.796087729697688,1.7264374629519859,0.17042086544161233,0.2934202726733847,1.781268524007113,2.015411973918198,1.0936573799644338,1.5871369294605808,0.9128630705394192,1.1736810906935389,1.433017190278601,0.21932424422050978,3.3120924718435094,1.155898043864849,2.6882039122703025,3.1594546532305867,2.1784232365145226,0.1822762299940723,0.36010669828097214,0.32157676348547715,2.2510373443983402,0.33046828689982216,3.4113811499703615,2.6911677534084175,1.513040901007706,2.1235921754593954,1.2774155305275636,3.6262596324836993,2.1443390634262003,0.07261410788381743,2.8793716656787196,2.756372258446947,3.775933609958506,3.8352104327208063,3.082394783639597,2.418494368701838,2.9445761707172493,0.1985773562537048,0.8165382335506818,0.4712507409602845,3.973029045643153,0.22228808535862477,1.1484884410195615,0.16449318316538233,0.16301126259632484,0.27563722584469474,0.40011855364552457,0.1141078838174274,1.0847658565500888,2.427385892116183,67480
