genre,‚ò∫,‚úã,‚úå,‚ú®,‚ù§,üéµ,üé∂,üëÄ,üëä,üëå,üëç,üëè,üíÄ,üíÅ,üíì,üíî,üíï,üíñ,üíô,üíõ,üíú,üí™,üíØ,üî´,üòÅ,üòÇ,üòÑ,üòÖ,üòà,üòâ,üòä,üòã,üòå,üòç,üòé,üòè,üòê,üòë,üòí,üòì,üòî,üòï,üòñ,üòò,üòú,üòû,üò†,üò°,üò¢,üò£,üò§,üò©,üò™,üò´,üò¨,üò≠,üò≥,üò¥,üò∑,üôÖ,üôà,üôä,üôå,üôè,sum
Horror,1.2520249942143022,0.11108539689886601,2.024994214302245,0.7278407775977782,1.9358944688729463,0.35987040037028467,0.6410553112705392,0.7984262902105995,2.714649386716038,1.27053922703078,4.633186762323536,2.9021059939828744,0.4848414718815089,0.09025688498032863,2.230965054385559,2.2170793797732005,0.20597084008331404,0.436241610738255,1.7646378153205275,2.264522101365425,1.2797963434390187,1.136311039111317,0.9141402453135848,1.2323536218467945,1.1606109696829439,0.18051376996065727,2.9321916223096505,0.9025688498032862,3.2758620689655173,2.986577181208054,1.8444804443415876,0.11108539689886601,0.26961351538995604,0.277713492247165,1.8201805137699607,0.2568849803286276,3.4297616292524875,2.5827354778986344,1.3121962508678546,2.29923628789632,1.3781532052765564,3.704003702846563,2.6290210599398285,0.10529969914371673,2.6938208747975008,2.8627632492478594,3.7097894006017125,3.790789169173802,3.281647766720667,2.6394353158990977,2.808377690349456,0.08909974542929877,0.8366118953945847,0.23374218930803056,3.8613746817866237,0.14232816477667207,1.341124739643601,0.10992825734783614,0.1943994445730155,0.16778523489932887,0.41657023837074747,0.10414255959268687,0.9280259199259431,2.70076371210368,86420
JRPG,1.6129032258064515,0.08064516129032258,2.1774193548387095,0.8870967741935484,2.661290322580645,0.3225806451612903,0.8870967741935484,0.4838709677419355,2.82258064516129,1.0483870967741937,4.516129032258064,2.741935483870968,0.16129032258064516,0.24193548387096775,3.1451612903225805,2.1774193548387095,0.3225806451612903,0.7258064516129032,2.5806451612903225,3.225806451612903,1.8548387096774193,1.2903225806451613,1.0483870967741937,0.3225806451612903,1.0483870967741937,0.08064516129032258,2.9838709677419355,0.4838709677419355,2.741935483870968,3.225806451612903,2.5,0.08064516129032258,0.3225806451612903,0.24193548387096775,1.6935483870967745,0.24193548387096775,2.9838709677419355,2.258064516129032,1.2903225806451613,2.0967741935483875,1.370967741935484,3.6290322580645165,1.7741935483870968,0.08064516129032258,2.338709677419355,2.258064516129032,3.6290322580645165,3.790322580645161,3.306451612903226,2.338709677419355,2.82258064516129,0.24193548387096775,0.7258064516129032,0.24193548387096775,3.064516129032258,0.24193548387096775,0.7258064516129032,0.0,0.08064516129032258,0.16129032258064516,0.4032258064516129,0.3225806451612903,1.129032258064516,3.7096774193548385,1240
Managerial,1.7512479201331117,0.16638935108153077,2.117304492512479,0.8631447587354408,1.9280366056572378,0.33485856905158073,0.6094009983361065,0.5657237936772047,2.886855241264559,1.5245424292845258,4.550748752079866,2.9076539101497505,0.13935108153078204,0.16846921797004993,1.9093178036605658,1.4413477537437605,0.2766222961730449,0.4097337770382696,2.0403494176372714,2.1630615640599005,1.3727121464226288,1.7034109816971714,0.802828618968386,0.8444259567387689,1.8635607321131447,0.2641430948419301,3.6064891846921796,1.3186356073211316,2.408485856905158,3.3236272878535775,2.4958402662229617,0.22878535773710484,0.5116472545757071,0.401414309484193,2.375207986688852,0.40765391014975044,3.1073211314475873,2.443843594009983,1.4787853577371048,1.9966722129783694,1.2229617304492513,3.3236272878535775,2.01955074875208,0.10607321131447588,3.167637271214642,2.576955074875208,3.4172212978369387,3.442179700499168,2.8015806988352745,2.2899334442595674,2.5873544093178036,0.20798668885191346,0.7757903494176372,0.4492512479201331,3.9600665557404326,0.23502495840266222,1.098169717138103,0.15806988352745424,0.1913477537437604,0.22878535773710484,0.4492512479201331,0.1559900166389351,1.12936772046589,2.2961730449251245,48080
Metroidvania,1.4200000000000002,0.12,2.36,1.0,2.68,0.62,0.9400000000000001,0.62,3.42,1.34,4.82,3.2800000000000002,0.13999999999999999,0.08,3.04,2.18,0.24,0.6799999999999999,1.96,3.04,1.6400000000000001,1.48,0.98,0.64,0.8999999999999999,0.1,3.04,0.76,2.94,3.38,2.08,0.02,0.24,0.42,1.8399999999999999,0.26,3.04,2.04,0.96,2.06,1.18,3.58,1.94,0.08,2.6,2.62,3.58,3.6799999999999997,3.1,2.26,2.7199999999999998,0.06,0.54,0.1,3.26,0.08,0.72,0.08,0.12,0.1,0.3,0.12,1.08,3.3000000000000003,5000
Modern,1.2494977902772197,0.20490156689433509,2.247890719164323,0.6307754118119727,1.713539574126155,0.27320208919244676,0.5303334672559261,0.6689433507432704,3.0715146645239053,1.2595419847328244,4.546002410606669,2.918842908798714,0.18682201687424668,0.18883085576536762,1.9686621132985134,1.9184411410204902,0.20891924467657694,0.34752912816392123,1.5869827239855365,1.9967858577742064,1.0586580956207312,1.3157894736842104,0.9140216954600241,1.3358778625954197,1.275612695861792,0.22900763358778628,3.1960626757734025,1.0245078344716754,3.0072318200080352,3.165930092406589,2.0028123744475694,0.16673362796303737,0.38569706709521895,0.27922860586580955,2.0630775411811975,0.3635998392928887,3.521494576134994,2.754118119726798,1.6412213740458017,2.1253515468059465,1.301727601446364,3.722378465247087,2.2539172358376858,0.09642426677380474,2.991161108879068,2.838489353153877,3.8288469264764964,3.846926476496585,3.1056649256729614,2.5050220972278026,3.0273202089192446,0.10847730012053032,0.8396946564885497,0.34752912816392123,3.9815186822016875,0.1747689835275211,1.151064684612294,0.15468059461631178,0.18280433909200483,0.26516673362796306,0.39172358376858174,0.1386098834873443,0.8658095620731218,2.336279630373644,49780
Mystery,1.5521978021978022,0.20604395604395606,2.307692307692308,0.8104395604395606,2.074175824175824,0.4258241758241758,0.7967032967032966,0.6181318681318682,2.3763736263736264,1.25,4.574175824175824,2.7884615384615388,0.13736263736263737,0.12362637362637362,2.760989010989011,2.3214285714285716,0.19230769230769232,0.576923076923077,1.6895604395604396,2.651098901098901,1.5384615384615385,1.1675824175824177,0.5631868131868132,0.5357142857142857,1.195054945054945,0.17857142857142858,3.131868131868132,1.1813186813186813,2.541208791208791,3.214285714285714,2.17032967032967,0.08241758241758242,0.3159340659340659,0.23351648351648352,1.6483516483516485,0.26098901098901095,3.5027472527472527,2.293956043956044,1.3324175824175823,2.5,1.5247252747252746,3.8873626373626373,2.239010989010989,0.054945054945054944,2.60989010989011,3.1043956043956045,3.7637362637362637,3.8049450549450547,3.392857142857143,2.60989010989011,2.8021978021978025,0.04120879120879121,1.0714285714285714,0.17857142857142858,3.571428571428571,0.09615384615384616,0.8104395604395606,0.13736263736263737,0.19230769230769232,0.26098901098901095,0.3434065934065934,0.09615384615384616,0.7005494505494506,2.8846153846153846,7280
Narrative,1.6374269005847955,0.20467836257309943,2.3391812865497075,1.0526315789473684,2.543859649122807,0.46783625730994155,0.7602339181286549,0.7602339181286549,2.1345029239766085,1.2865497076023393,4.444444444444445,3.0994152046783627,0.23391812865497078,0.29239766081871343,3.0409356725146197,2.5146198830409356,0.43859649122807015,0.8187134502923977,1.95906432748538,3.1578947368421053,1.7543859649122806,0.9649122807017544,0.7602339181286549,0.46783625730994155,1.1403508771929824,0.17543859649122806,3.011695906432749,0.8771929824561403,2.017543859649123,2.953216374269006,2.1929824561403506,0.058479532163742694,0.6432748538011697,0.46783625730994155,1.608187134502924,0.40935672514619886,3.070175438596491,2.1345029239766085,1.0526315789473684,2.456140350877193,1.4912280701754386,3.5964912280701755,2.1637426900584797,0.11695906432748539,2.543859649122807,2.923976608187134,3.508771929824561,3.5672514619883042,3.216374269005848,2.6023391812865495,2.3391812865497075,0.029239766081871347,1.0818713450292399,0.17543859649122806,3.011695906432749,0.14619883040935672,0.9356725146198831,0.058479532163742694,0.23391812865497078,0.3508771929824561,0.3508771929824561,0.17543859649122806,1.0526315789473684,2.923976608187134,3420
Naval,1.0169491525423728,0.1694915254237288,2.288135593220339,0.5932203389830508,1.1016949152542372,0.0847457627118644,0.423728813559322,1.1864406779661016,3.389830508474576,0.7627118644067797,4.745762711864407,2.711864406779661,0.2542372881355932,0.0847457627118644,2.0338983050847457,2.2033898305084745,0.0847457627118644,0.423728813559322,0.6779661016949152,1.6101694915254237,0.7627118644067797,0.7627118644067797,0.0847457627118644,1.1016949152542372,0.9322033898305085,0.0847457627118644,2.9661016949152543,0.5084745762711864,3.6440677966101696,3.4745762711864407,1.6101694915254237,0.0,0.1694915254237288,0.0,1.9491525423728815,0.0847457627118644,3.9830508474576267,3.389830508474576,2.2033898305084745,2.3728813559322033,1.2711864406779663,4.23728813559322,2.7966101694915255,0.0,3.305084745762712,3.2203389830508473,4.322033898305085,4.491525423728813,3.5593220338983054,2.711864406779661,3.5593220338983054,0.0847457627118644,0.5932203389830508,0.2542372881355932,4.491525423728813,0.0847457627118644,0.9322033898305085,0.1694915254237288,0.3389830508474576,0.423728813559322,0.2542372881355932,0.0,0.2542372881355932,2.711864406779661,1180
Off-road,1.8464730290456433,0.16597510373443983,2.033195020746888,0.8506224066390041,1.9087136929460582,0.5186721991701244,0.9958506224066389,0.8713692946058091,3.4024896265560165,1.804979253112033,4.626556016597511,3.0497925311203318,0.06224066390041493,0.1037344398340249,1.804979253112033,1.058091286307054,0.2697095435684647,0.3941908713692946,2.033195020746888,2.302904564315353,1.0788381742738589,1.9917012448132778,0.7468879668049793,0.5809128630705395,2.012448132780083,0.24896265560165973,4.1078838174273855,1.2655601659751037,3.029045643153527,3.8174273858921164,2.676348547717842,0.29045643153526973,0.33195020746887965,0.5394190871369294,3.112033195020747,0.43568464730290457,2.987551867219917,2.1576763485477177,1.1825726141078838,1.7219917012448134,0.8091286307053943,3.1742738589211617,1.887966804979253,0.18672199170124482,3.8174273858921164,2.323651452282158,3.1742738589211617,3.132780082987552,2.5103734439834025,1.950207468879668,2.3651452282157677,0.18672199170124482,0.5186721991701244,0.37344398340248963,4.004149377593361,0.2697095435684647,1.3278008298755186,0.04149377593360996,0.1037344398340249,0.1037344398340249,0.4564315352697096,0.12448132780082986,1.3070539419087137,1.4315352697095436,4820
Open World,1.3669391462306995,0.1407811080835604,2.3751135331516804,0.776566757493188,2.0572207084468666,0.4087193460490463,0.6948228882833788,0.5676657584014532,3.1335149863760217,1.0990009082652135,4.573115349682108,2.9291553133514987,0.24977293369663942,0.1407811080835604,2.461398728428701,2.084468664850136,0.2633969118982743,0.4722979109900091,1.6757493188010901,2.4432334241598546,1.2670299727520435,1.4214350590372389,1.017257039055404,1.2806539509536785,1.0581289736603088,0.16802906448683017,2.974568574023615,0.9400544959128065,3.0744777475022707,3.12897366030881,1.930063578564941,0.10899182561307902,0.34514078110808355,0.3496821071752952,2.061762034514078,0.32697547683923706,3.401453224341508,2.4841053587647592,1.335149863760218,2.0980926430517712,1.2579473206176204,3.6784741144414173,2.1662125340599454,0.06811989100817438,2.8201634877384194,2.7747502270663036,3.828337874659401,3.9009990917347865,3.206176203451408,2.352406902815622,2.974568574023615,0.1271571298819255,0.7629427792915531,0.2452316076294278,3.651226158038147,0.14532243415077203,0.7629427792915531,0.09990917347865577,0.14986376021798364,0.17711171662125338,0.3042688465031789,0.11807447774750228,0.8946412352406903,2.8474114441416893,22020
Pinball,1.6906474820143884,0.2158273381294964,2.086330935251799,0.8992805755395683,2.1223021582733814,0.5755395683453237,0.8992805755395683,0.8992805755395683,2.841726618705036,1.4748201438848922,4.532374100719425,2.841726618705036,0.07194244604316546,0.07194244604316546,1.9424460431654675,1.3669064748201438,0.14388489208633093,0.4316546762589928,1.9064748201438848,2.158273381294964,1.1870503597122302,1.5827338129496402,0.8273381294964028,0.6834532374100719,1.618705035971223,0.14388489208633093,3.8129496402877696,1.1510791366906474,2.338129496402878,3.8129496402877696,2.5899280575539567,0.14388489208633093,0.39568345323741005,0.2158273381294964,2.985611510791367,0.5035971223021583,3.1654676258992804,2.2661870503597124,1.5107913669064748,2.014388489208633,1.1870503597122302,3.381294964028777,1.8345323741007193,0.1079136690647482,3.5251798561151078,2.446043165467626,3.4532374100719423,3.41726618705036,2.661870503597122,2.050359712230216,2.446043165467626,0.14388489208633093,0.6474820143884892,0.5035971223021583,3.920863309352518,0.14388489208633093,1.330935251798561,0.2517985611510791,0.14388489208633093,0.2517985611510791,0.4316546762589928,0.14388489208633093,1.330935251798561,2.1223021582733814,2780
Platformer,1.791299402900199,0.17628660790446402,2.2803525732158088,0.9923230025589992,2.2803525732158088,0.5814614728461757,0.9468296843901053,0.5459198180267274,3.055160648279784,1.653397782200739,4.6005117998294,3.139038953653682,0.12937162354279216,0.1435882854705715,2.3798692067102643,1.765709411430196,0.2743815752061416,0.5032698322433893,2.061415979528007,2.546204151265283,1.4941711686096104,1.5837361387546205,0.8913847028717657,0.8231447256184249,1.4259311913562696,0.1919249360250213,3.5044071651976116,0.995166334944555,2.613022462325846,3.3992038669320443,2.4651691782769403,0.18197327267557578,0.3596815467728178,0.3966448677850441,2.392664202445266,0.3298265567244811,2.9584873471708844,2.2092692635769122,1.2638612453795848,1.920671026442991,1.1799829400056867,3.3508672163775945,1.9121410292863235,0.11231162922945692,2.965595678134774,2.4793858402047197,3.424793858402047,3.4674438441853854,2.8319590560136483,2.146715951094683,2.502132499289167,0.10662496445834517,0.7222064259311913,0.2914415695194768,3.58117713960762,0.15780494739835088,0.9624680125106625,0.09667330110889963,0.1592266135911288,0.2075632641455786,0.35257321580892803,0.1080466306511231,1.1586579471140177,2.475120841626386,70340
Point-and-click,1.8437253354380425,0.14048934490923443,2.201262825572218,1.1081294396211523,2.5114443567482243,0.36464088397790057,0.7805840568271507,0.6495659037095501,2.5019731649565906,1.4617205998421468,4.6740331491712706,3.094711917916338,0.13496448303078137,0.13259668508287292,2.6243093922651934,1.9423835832675613,0.2928176795580111,0.6503551696921863,2.2596685082872927,2.8382004735595894,1.7624309392265194,1.0812943962115233,0.6195737963693765,0.5501183898973954,1.472770323599053,0.21625887924230464,3.588003157063931,0.9321231254932912,2.367008681925809,3.416732438831886,2.634569850039463,0.15074980268350435,0.3378058405682715,0.3701657458563536,2.127861089187056,0.2936069455406472,3.021310181531176,2.2091554853985795,1.2217837411207577,2.0118389897395423,1.3370165745856355,3.45698500394633,1.97947908445146,0.11996842936069455,2.9913180741910024,2.652722967640095,3.37095501183899,3.423835832675612,3.041831097079716,2.2651933701657456,2.3322809786898184,0.07971586424625099,0.7640094711917916,0.2186266771902131,3.588003157063931,0.14917127071823202,0.9502762430939227,0.11128650355169692,0.13259668508287292,0.15548539857932123,0.39305445935280187,0.16258879242304658,1.091554853985793,2.63930544593528,126700
Programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20
Puzzle,1.9785575048732944,0.1397011046133853,2.1929824561403506,1.0851202079272255,2.332683560753736,0.4710851202079272,0.8073424301494476,0.6026640675763483,2.5357374918778426,1.46361273554256,4.650747238466537,2.9564652371669915,0.0925925925925926,0.1397011046133853,2.5,1.8453541260558803,0.3395061728395062,0.693632228719948,2.1653671215074723,2.7111760883690708,1.686159844054581,1.3564002599090317,0.6708901884340481,0.5799220272904484,1.4506172839506173,0.18680961663417803,3.5640025990903186,1.0103963612735543,2.4772579597141,3.489278752436647,2.6283300844704356,0.18193632228719947,0.40935672514619886,0.4044834307992203,2.2287199480181936,0.2842755035737492,3.0068226120857697,2.2059779077322936,1.190708252111761,1.9834307992202729,1.2296946068875894,3.437296946068876,1.99317738791423,0.15269655620532815,3.047433398310591,2.634827810266407,3.3625730994152043,3.4178037686809617,2.958089668615984,2.2823261858349575,2.3635477582846,0.10396361273554255,0.7196231319038336,0.2794022092267706,3.614359974009097,0.1738141650422352,0.9551656920077972,0.1055880441845354,0.13645224171539963,0.17218973359324236,0.3492527615334633,0.1397011046133853,1.0396361273554255,2.631578947368421,61560
Racing,1.9226118500604596,0.15114873035066506,1.9165659008464329,0.7557436517533254,2.067714631197098,0.4897218863361548,0.9310761789600966,0.6590084643288996,3.071342200725514,1.6807738814993953,4.637243047158404,3.0894800483675935,0.07859733978234583,0.12696493349455865,1.7835550181378477,1.2515114873035067,0.2176541717049577,0.38089480048367597,2.200725513905683,2.2611850060459493,1.3542926239419588,1.7896009673518742,0.5985489721886337,0.6892382103990327,1.9709794437726722,0.2539298669891173,3.8814993954050787,1.1970979443772674,2.2914147521160824,3.6215235792019342,2.6541717049576783,0.2539298669891173,0.3325272067714631,0.48367593712212814,2.9322853688029022,0.36880290205562277,3.029020556227328,2.267230955259976,1.2454655380894801,1.8016928657799274,0.9854897218863361,3.301088270858525,2.0012091898428053,0.14510278113663846,3.5368802902055623,2.4244256348246673,3.295042321644498,3.3555018137847643,2.6904474002418377,2.128174123337364,2.351874244256348,0.17533252720677148,0.7013301088270859,0.4353083434099154,4.050785973397823,0.21160822249093109,1.3542926239419588,0.07859733978234583,0.12696493349455865,0.22370012091898428,0.5078597339782346,0.11487303506650544,1.2998790810157195,1.8137847642079807,16540
Rally,2.0210526315789474,0.12631578947368421,2.0,0.7157894736842105,2.0,0.4842105263157895,0.9157894736842105,0.6105263157894737,3.1578947368421053,1.6526315789473685,4.726315789473684,3.136842105263158,0.11578947368421054,0.08421052631578947,1.768421052631579,1.4105263157894736,0.27368421052631575,0.3789473684210526,2.094736842105263,2.136842105263158,1.4105263157894736,1.7263157894736842,0.5157894736842106,0.8526315789473684,2.1157894736842104,0.27368421052631575,3.7473684210526317,1.168421052631579,2.3473684210526318,3.4736842105263155,2.5473684210526315,0.17894736842105263,0.3473684210526316,0.4526315789473684,2.8842105263157896,0.3789473684210526,3.0,2.294736842105263,1.2736842105263158,1.8105263157894735,0.968421052631579,3.2842105263157895,2.094736842105263,0.12631578947368421,3.421052631578948,2.4105263157894736,3.231578947368421,3.3157894736842106,2.694736842105263,2.2421052631578946,2.294736842105263,0.1894736842105263,0.7473684210526316,0.46315789473684216,4.052631578947368,0.21052631578947367,1.4736842105263157,0.06315789473684211,0.13684210526315788,0.22105263157894736,0.5684210526315789,0.11578947368421054,1.2526315789473683,1.8105263157894735,9500
Real-time,1.3796366389099166,0.19871309613928842,2.1375851627554883,0.669000757002271,1.756245268735806,0.31037093111279335,0.5459878879636639,0.7125283875851628,3.0724829674489023,1.310560181680545,4.524981074943224,2.959878879636639,0.15802422407267222,0.15423921271763816,1.9171082513247542,1.8224829674489025,0.1807342922028766,0.30563966691900074,1.691900075700227,2.0334973504920515,1.10333080999243,1.51778955336866,0.8894776684330052,1.021006813020439,1.394776684330053,0.23277819833459498,3.25889477668433,1.1109008327024983,2.642884178652536,3.138720666161998,2.0741862225586676,0.16370174110522331,0.3425435276305829,0.33970476911430736,2.13663890991673,0.3245647236941711,3.424489023467071,2.72331566994701,1.576457229371688,2.200984102952309,1.3039364118092356,3.6818697956093867,2.255866767600303,0.08705526116578349,2.9068887206661618,2.8292959878879635,3.7764950794852385,3.816237698713096,3.100870552611658,2.480128690386071,2.975018925056775,0.17316426949280847,0.8289174867524602,0.4447388342165026,3.9629068887206658,0.22142316426949282,1.0787282361847086,0.14666919000757,0.1807342922028766,0.2715745647236942,0.3964799394398183,0.11165783497350493,0.9964042392127176,2.5141937925813775,105680
